id,title,vote_average,popularity,release_date,release_year,type,genre_ids
1376434,Predator: Killer of Killers,8.026,792.9766,2025-06-05,2025,movie,"[16, 878, 28]"
870028,The Accountant²,7.203,711.6688,2025-04-23,2025,movie,"[9648, 80, 53]"
552524,Lilo & Stitch,7.112,571.1231,2025-05-17,2025,movie,"[10751, 35, 878, 12]"
1233413,Sinners,7.526,553.0692,2025-04-16,2025,movie,"[27, 28, 53]"
1315988,Mikaela,6.086,431.9591,2025-01-31,2025,movie,"[28, 53]"
757725,Shadow Force,6.398,349.5856,2025-05-01,2025,movie,"[28, 53, 18]"
1450599,K.O.,7.31,314.2121,2025-06-05,2025,movie,"[28, 18, 12]"
950387,A Minecraft Movie,6.5,311.5447,2025-03-31,2025,movie,"[10751, 35, 12, 14]"
574475,Final Destination Bloodlines,6.998,278.9729,2025-05-14,2025,movie,"[27, 9648]"
1197306,A Working Man,6.688,249.9285,2025-03-26,2025,movie,"[28, 80, 53]"
1411773,The Last Stand of Ellen Cole,8.417,244.9839,2024-10-18,2024,movie,"[28, 12]"
1284120,The Ugly Stepsister,7.0,231.6285,2025-03-07,2025,movie,"[27, 35, 14, 18]"
575265,Mission: Impossible - The Final Reckoning,7.2,212.233,2025-05-17,2025,movie,"[28, 12, 53]"
541671,Ballerina,7.152,206.7834,2025-06-04,2025,movie,"[28, 53, 80]"
1257960,Sikandar,5.125,192.0116,2025-03-29,2025,movie,"[28, 18]"
1241894,Woodwalkers,6.25,179.8867,2024-10-17,2024,movie,"[10751, 14]"
1199974,Párvulos: Children of the Apocalypse,6.559,169.5685,2024-10-18,2024,movie,[27]
302946,The Accountant,7.117,166.1359,2016-10-13,2016,movie,"[80, 53, 18]"
1426776,STRAW,8.344,164.1559,2025-06-05,2025,movie,"[18, 53]"
299536,Avengers: Infinity War,8.236,155.8577,2018-04-25,2018,movie,"[12, 28, 878]"
1232933,Fear Below,6.761,136.0304,2025-05-02,2025,movie,"[27, 28, 12, 53]"
383498,Deadpool 2,7.5,96.4768,2018-05-15,2018,movie,"[28, 35, 12]"
1241436,Warfare,7.29,129.786,2025-04-09,2025,movie,"[10752, 28]"
