id,title,vote_average,popularity,release_date,release_year,type,genre_ids
2734,Law & Order: Special Victims Unit,7.937,934.4763,1999-09-20,1999,tv,"[80, 18, 9648]"
14981,The Late Late Show with Craig Ferguson,6.817,880.1245,2005-01-03,2005,tv,"[35, 10767]"
498,Late Show with David Letterman,6.325,817.6184,1993-08-30,1993,tv,"[10767, 35]"
61818,Late Night with Seth Meyers,5.29,818.7457,2014-02-25,2014,tv,"[10767, 35]"
63770,The Late Show with Stephen Colbert,6.3,834.7372,2015-09-08,2015,tv,"[35, 10767]"
22980,Watch What Happens Live with Andy Cohen,5.034,817.6362,2009-07-16,2009,tv,"[10767, 35]"
4419,Real Time with Bill Maher,5.998,580.9383,2003-02-21,2003,tv,"[35, 10767]"
50821,Among Friends,3.2,724.3368,1998-10-26,1998,tv,"[18, 10751]"
2261,The Tonight Show Starring Johnny Carson,7.4,625.5117,1962-10-01,1962,tv,[10767]
8590,Plus belle la vie,4.379,533.7829,2004-08-30,2004,tv,"[18, 35, 80]"
1220,The Graham Norton Show,7.2,631.1057,2007-02-22,2007,tv,"[35, 10767]"
59941,The Tonight Show Starring Jimmy Fallon,5.85,672.6438,2014-02-17,2014,tv,"[35, 10767]"
2637,Come Dine with Me,5.0,614.3627,2005-01-10,2005,tv,[10764]
224,Match of the Day,7.511,520.7716,1964-08-22,1964,tv,"[10767, 10763]"
204746,The Jennifer Hudson Show,6.396,397.6329,2022-09-12,2022,tv,[10767]
206559,Binnelanders,5.578,500.5876,2005-10-13,2005,tv,[10766]
5133,Leave It to Beaver,7.0,555.7274,1957-10-04,1957,tv,"[35, 10751]"
3562,NOVA,7.023,562.5591,1974-03-03,1974,tv,[99]
2224,The Daily Show,6.4,558.3394,1996-07-22,1996,tv,"[10763, 35]"
21755,Pawn Stars,7.094,518.8462,2009-07-19,2009,tv,[10764]
30957,The Amazing Race,6.9,538.8917,2001-09-05,2001,tv,[10764]
97,The Drew Carey Show,6.5,519.5005,1995-09-13,1995,tv,[35]
46825,Rooster Teeth Animated Adventures,8.6,490.8703,2011-09-28,2011,tv,"[16, 35, 10767]"
2394,This Old House,5.4,486.0763,1979-01-01,1979,tv,"[99, 10764]"
32390,The Real Housewives of Beverly Hills,6.337,483.0919,2010-10-14,2010,tv,[10764]
42912,Inazuma Eleven,7.998,514.5104,2008-10-05,2008,tv,"[16, 10765]"
331,America's Next Top Model,5.287,474.2727,2003-05-20,2003,tv,[10764]
