id,title,vote_average,popularity,release_date,release_year,type,genre_ids
278,The Shawshank Redemption,8.711,32.1779,1994-09-23,1994,movie,"[18, 80]"
238,The Godfather,8.7,51.941,1972-03-14,1972,movie,"[18, 80]"
240,The Godfather Part II,8.6,15.4716,1974-12-20,1974,movie,"[18, 80]"
424,Schindler's List,8.564,19.3612,1993-12-15,1993,movie,"[18, 36, 10752]"
389,12 Angry Men,8.548,20.9212,1957-04-10,1957,movie,[18]
129,Spirited Away,8.537,19.4658,2001-07-20,2001,movie,"[16, 10751, 14]"
155,The Dark Knight,8.52,26.643,2008-07-16,2008,movie,"[18, 28, 80, 53]"
19404,Dilwale Dulhania Le Jayenge,8.517,8.3735,1995-10-20,1995,movie,"[35, 18, 10749]"
497,The Green Mile,8.506,17.1908,1999-12-10,1999,movie,"[14, 18, 80]"
496243,Parasite,8.499,122.6036,2019-05-30,2019,movie,"[35, 53, 18]"
680,Pulp Fiction,8.488,102.7421,1994-09-10,1994,movie,"[53, 80]"
122,The Lord of the Rings: The Return of the King,8.5,19.8345,2003-12-17,2003,movie,"[12, 14, 28]"
372058,Your Name.,8.482,37.8462,2016-08-26,2016,movie,"[16, 10749, 18]"
13,Forrest Gump,8.468,19.129,1994-06-23,1994,movie,"[35, 18, 10749]"
429,"The Good, the Bad and the Ugly",8.461,91.8321,1966-12-22,1966,movie,[37]
157336,Interstellar,8.455,37.6389,2014-11-05,2014,movie,"[12, 18, 878]"
769,GoodFellas,8.5,13.4244,1990-09-12,1990,movie,"[18, 80]"
346,Seven Samurai,8.455,8.0551,1954-04-26,1954,movie,"[28, 18]"
12477,Grave of the Fireflies,8.4,0.0101,1988-04-16,1988,movie,"[16, 18, 10752]"
637,Life Is Beautiful,8.447,10.318,1997-12-20,1997,movie,"[35, 18]"
11216,Cinema Paradiso,8.437,5.5644,1988-11-17,1988,movie,"[18, 10749]"
550,Fight Club,8.438,21.1448,1999-10-15,1999,movie,[18]
40096,A Dog's Will,8.4,1.9836,2000-09-15,2000,movie,"[35, 18, 14]"
598,City of God,8.429,8.0708,2002-08-30,2002,movie,"[18, 80]"
667257,Impossible Things,8.427,1.5629,2021-06-17,2021,movie,"[10751, 18]"
539,Psycho,8.4,10.7359,1960-06-22,1960,movie,"[27, 53, 9648]"
120,The Lord of the Rings: The Fellowship of the Ring,8.422,24.1866,2001-12-18,2001,movie,"[12, 14, 28]"
14537,Harakiri,8.418,4.026,1962-09-15,1962,movie,"[28, 18, 36]"
510,One Flew Over the Cuckoo's Nest,8.413,7.999,1975-11-19,1975,movie,[18]
696374,Gabriel's Inferno,8.411,2.9768,2020-05-29,2020,movie,"[10749, 18]"
311,Once Upon a Time in America,8.407,6.9978,1984-05-23,1984,movie,"[18, 80]"
121,The Lord of the Rings: The Two Towers,8.406,17.8117,2002-12-18,2002,movie,"[12, 14, 28]"
324857,Spider-Man: Into the Spider-Verse,8.398,15.4625,2018-12-06,2018,movie,"[16, 28, 12, 878]"
4935,Howl's Moving Castle,8.397,15.3589,2004-09-09,2004,movie,"[14, 16, 12]"
1891,The Empire Strikes Back,8.395,9.6887,1980-05-20,1980,movie,"[12, 28, 878]"
255709,Hope,8.391,5.9267,2013-10-02,2013,movie,[18]
378064,A Silent Voice: The Movie,8.385,9.3933,2016-09-17,2016,movie,"[16, 18, 10749]"
724089,Gabriel's Inferno: Part II,8.4,1.585,2020-07-31,2020,movie,"[10749, 18]"
423,The Pianist,8.379,9.4054,2002-09-17,2002,movie,"[18, 10752]"
244786,Whiplash,8.377,17.4249,2014-10-10,2014,movie,"[18, 10402]"
761053,Gabriel's Inferno: Part III,8.4,3.108,2020-11-19,2020,movie,"[10749, 18]"
807,Se7en,8.376,20.0057,1995-09-22,1995,movie,"[80, 9648, 53]"
